time,seconds_elapsed,z,y,x
1772515160177548800,0.006548828125,0.004260932095348835,0.048468101769685745,-0.111050546169281
1772515160188595700,0.017595703125,-0.009587096981704235,0.07935985922813416,-0.1014634445309639
1772515160208662500,0.03766259765625,-0.03621792420744896,0.14220860600471497,-0.010918638668954372
1772515160218700000,0.047699951171875,-0.04047885537147522,0.15499140322208405,0.03275591507554054
1772515160228747000,0.0577470703125,-0.04793548583984375,0.1283605843782425,0.05299534276127815
1772515160258883800,0.0878837890625,-0.02982652559876442,0.050598569214344025,0.018907885998487473
1772515160278941200,0.107941162109375,-0.03515268862247467,0.01877473294734955,-0.024766668677330017
1772515160289036000,0.1180361328125,-0.01704372838139534,-0.0003994623839389533,-0.03541899845004082
1772515160299083000,0.1280830078125,0.015845341607928276,-0.03022598661482334,-0.031158065423369408
1772515160309135000,0.138135009765625,0.025432437658309937,-0.0025299284607172012,0.00399462366476655
1772515160319182000,0.14818212890625,0.026497671380639076,0.009187635034322739,0.03169068321585655
1772515160339295200,0.168295166015625,0.031823836266994476,0.033554840832948685,0.06684337556362152
1772515160349344500,0.178344482421875,0.037150003015995026,0.038881003856658936,0.07536523789167404
1772515160359393300,0.188393310546875,0.047802332788705826,0.034620072692632675,0.07323476672172546
1772515160369442300,0.1984423828125,0.059519894421100616,0.037815771996974945,0.06577813625335693
1772515160379485400,0.2084853515625,0.06484606117010117,0.033554840832948685,0.04553871229290962
1772515160389534000,0.218533935546875,0.06804175674915314,0.02942706272006035,0.024234050884842873
1772515160399565800,0.22856591796875,0.07336792349815369,0.034620072692632675,0.012516488321125507
1772515160409612500,0.238612548828125,0.07869409024715424,0.02836182899773121,-0.0023967742454260588
1772515160419672600,0.248672607421875,0.08402025699615479,0.02197043038904667,-0.0077229393646121025
1772515160429720600,0.258720458984375,0.08402025699615479,0.031424373388290405,0.002929390873759985
1772515160439755500,0.268755615234375,0.07762885838747025,0.037815771996974945,0.017842652276158333
1772515160449802500,0.278802490234375,0.07017222791910172,0.032489608973264694,0.021038351580500603
1772515160459848400,0.288848388671875,0.0723026916384697,0.01983996480703354,0.0061250897124409676
1772515160469895200,0.298895263671875,0.07443315535783768,0.005991935729980469,-0.016244804486632347
1772515160479950000,0.3089501953125,0.0723026916384697,-0.006790860556066036,-0.030092833563685417
1772515160489997600,0.31899755859375,0.06378082931041718,0.000665770610794425,-0.022636201232671738
1772515160500071200,0.3290712890625,0.05312849581241608,0.01664426550269127,0.002929390873759985
1772515160510121200,0.339121337890625,0.03608476743102074,-0.0025299284607172012,0.03914731368422508
1772515160520130300,0.34913037109375,-0.0106523297727108,-0.014247491955757141,0.04873441159725189
1772515160530176500,0.359176513671875,0,0.013448567129671574,0.06577813625335693
1772515160540263400,0.369263427734375,0.0053261648863554,-0.02703028731048107,0.06364767253398895
1772515160550313700,0.379313720703125,-0.0213046595454216,0.000665770610794425,0.04340824484825134
1772515160560355300,0.389355224609375,-0.01171756349503994,-0.00359516148455441,0.05512581020593643
1772515160570404600,0.399404541015625,-0.03408745676279068,-0.03448691964149475,0.030625449493527412
