acc_x_mean,acc_x_var,acc_x_std,acc_x_rms,acc_y_mean,acc_y_var,acc_y_std,acc_y_rms,acc_z_mean,acc_z_var,acc_z_std,acc_z_rms,gyro_x_mean,gyro_x_var,gyro_x_std,gyro_x_rms,gyro_y_mean,gyro_y_var,gyro_y_std,gyro_y_rms,gyro_z_mean,gyro_z_var,gyro_z_std,gyro_z_rms,acc_sma,gyro_sma,acc_corr_xy,acc_corr_xz,acc_x_dom_freq,acc_x_spec_energy,acc_x_spec_entropy,acc_y_dom_freq,acc_y_spec_energy,acc_y_spec_entropy,acc_z_dom_freq,acc_z_spec_energy,acc_z_spec_entropy,activity,recording_id,label_enc
0.8379720916608364,-0.14740021729391262,0.18472779184947064,0.15930779736594008,-0.4947999421736967,-0.3430763595758758,-0.3659880890194369,-0.40716142716957265,0.7589982242305802,-0.4678729594144051,-0.37336003169064996,-0.3584299883076952,-1.328600700940462,-0.262087259146396,0.0685816786858854,0.09964889394486229,-0.37260737779920383,0.008573751147452806,0.5164757746901093,0.45416093960135473,0.2645434282948506,-0.08537269848367635,0.2796393898950772,0.1336408483546979,-0.42301716179889487,-0.15816724222423467,-0.648810476156866,0.8764923944394656,-0.6073069167070216,-0.15594948497615493,0.6393436541082904,-0.570233482999149,-0.30502550376955684,0.7937608077609257,-0.616702050220845,-0.46569899396916004,-0.34404705145350406,jumping,jumping_01,0
-0.839089822065542,1.450471757350489,2.2461141255464248,2.0663952443491915,1.3650118032120984,2.9205335533172,2.934522008769457,1.8926768119154775,1.8112090229281028,0.4410508430904233,1.0052043582968664,1.0113231208050002,-1.3770058908151794,2.0127203792916832,2.3322021344117765,2.3056969185885263,-1.1777804055694578,2.3600147775123888,2.6686851264654243,2.5539559561800145,0.6041500060318795,0.9248341372816701,2.09616128846662,1.6413261479456518,1.054444830887369,1.878091545147458,-0.9378897836387463,1.8982150960800674,0.22890799168187737,1.0410573744110478,0.3978372534876967,-0.570233482999149,0.8680957762146024,-0.6142433241215808,-0.38327073918356175,0.46035381978308465,-0.4066996965384042,jumping,jumping_01,0
-3.9051357627651657,3.3067087488101987,3.5177911413751457,3.6229818297927205,3.5122197038598753,1.2922771688895214,1.8929914048514513,3.1794167001385922,2.3133124826947085,1.7014799532082074,1.870974331188495,1.8737177069964912,1.9798573866066638,4.29793802230375,3.4862256725213903,3.4541746615802325,-1.4348587705010987,3.5754717451905034,3.3604313406965423,3.228771160732845,-0.4179309593621796,1.9823213213978221,3.1604397471091614,2.477541873061799,2.708974499887508,3.69852950278123,0.3606731957382709,2.3263065004213095,0.22890799168187737,3.4741087025107222,-1.7945722462561882,-0.570233482999149,3.295213456255445,-0.6238866642341102,-0.38327073918356175,1.7242756170712459,-1.3621797363345125,jumping,jumping_01,0
-4.226598399132046,5.761179174356454,4.75995710903485,4.730426671025966,4.50938845400466,2.2525260471144577,2.5483936746849953,4.133421342498962,0.307194476953298,2.220627375004607,2.1497770698438936,2.132461182624426,5.056884340584858,4.756382691307989,3.68008305690209,3.7331035112745514,-2.3499320261863694,2.9657298507436556,3.0292917331056755,2.985976160524419,-1.7261835936493592,2.621367663082924,3.678347407082494,3.073091212320432,3.328543871480525,3.9732605466257382,0.2949315136806949,2.3978486051901786,0.22890799168187737,5.4097884915662275,-0.5835321508878129,-0.570233482999149,5.358099951278211,-1.8035250634038538,-0.38327073918356175,2.1692537483146572,-0.5394001418566783,jumping,jumping_01,0
-6.699434496202274,5.720084723196511,4.741506617938732,5.219186273530359,5.497166957540377,2.8033547420292675,2.8698454670048705,5.019150897615081,-3.4103726402547263,2.0895277198690803,2.0820948215798105,2.104614304919046,3.747109978773521,6.032220367994876,4.178016019554445,4.172857231352278,0.08401669786822104,4.6979873683831235,3.9088404959985055,3.7151490127575597,-0.75781617512586,4.431141607110587,4.887893146998022,3.9145080546121114,3.670780451142414,4.625377068989999,0.30738546134374606,2.2887776929465393,-0.6073069167070216,7.331331671503392,-1.9257408209676221,-0.570233482999149,7.768502521674052,-1.6327042782219394,-0.38327073918356175,2.190914421996614,-1.4012687325441182,jumping,jumping_01,0
-9.183434547513903,5.29657729746106,4.547562903101186,5.741915374521198,5.548710520934375,6.471888146109664,4.52510517504542,5.404573224709379,-3.4960255244243568,2.4134601821067503,2.246420251322826,2.267670096976475,-1.1211571796166133,6.548067138633764,4.365070244729553,4.30934349679724,-1.9563282928420613,6.780757171048605,4.784131310518539,4.617193054416902,0.42865116950830306,5.5996683318687275,5.544498416009122,4.442483484668855,3.777687143889718,4.7950855135842865,-0.136159853695747,2.2077656249511706,-0.6073069167070216,9.836913273641471,-2.1530486957882875,-0.570233482999149,8.444178381441592,-1.7561987259204968,-0.38327073918356175,2.5166868276561347,-1.1359324701763667,jumping,jumping_01,0
-7.014210176337966,6.603923063115621,5.125394525432383,5.594763649110467,5.054526389007882,8.322047941057342,5.1846966519109845,5.191912584206222,-1.5570688349482562,2.936201436277528,2.493318804706914,2.481332742862996,-4.026199147751982,5.662232337314385,4.039170128298002,4.041529433961186,-5.59520730875343,6.170489798582804,4.542692002235975,4.7829103511267075,0.7746782681399367,4.65329321569309,5.018587446833971,4.0347097252901705,3.7530670755096427,4.285162003890099,-0.5394312737758444,2.234781581228101,-0.6073069167070216,8.268177532476003,-2.013264577389069,-0.570233482999149,7.488466760497292,-1.6054423947937861,-0.38327073918356175,2.90372465440034,-0.743708655628404,jumping,jumping_01,0
-3.603748967011461,7.601136077934707,5.530060837724149,5.308919122431049,5.619459633111752,8.314756049353527,5.182243232328219,5.623989596146866,-0.16208387726688964,3.125251855613108,2.577909755239347,2.558158727480922,-3.781111898602062,6.373692040334191,4.302644129300834,4.292331240818724,-4.2476045949837795,4.974892600099543,4.034458130359055,4.132791676132425,0.5996656607279224,6.656276369316797,6.083258471347244,4.8935707531260295,3.813404739686183,4.607800025638055,-1.0244404486926832,2.186474715184595,0.22890799168187737,6.359440901155305,-0.534406695594547,-0.570233482999149,8.901313876372441,-1.0272420375989588,-0.38327073918356175,3.0575573885146867,-0.4712917356078363,jumping,jumping_01,0
-2.24837090198265,5.783802519326731,4.770087786930304,4.475449492661192,5.2745734435138925,7.454255571148529,4.885102975192729,5.279394343834456,4.292620561746247,2.0312725441787656,2.0514680068261586,2.0952560743089474,0.27038839172871876,6.288301542555237,4.271780265091159,4.213593292240744,-2.7877525924308584,4.5296718559492914,3.830799712169628,3.7774118436943542,0.02048125839206771,6.929104877376715,6.215501274983563,4.9831281604108195,3.2453167121192217,4.688564605239451,-0.9493670858092522,2.0965996914988607,0.6470154458763269,4.472254879064708,-0.8972553973792861,-0.570233482999149,7.894158677895174,-0.46602083897179497,-0.38327073918356175,2.2123068281513136,-0.575224038334958,jumping,jumping_01,0
-5.263175632430192,6.795842404141892,5.2054404495131426,5.291536437203977,4.342009321330771,4.82897326127559,3.859406815353455,4.290003596542312,1.6695979568142498,1.585029541000765,1.8040238383819802,1.7982830514494617,6.339697397571358,3.7826649838425332,3.256604060374904,3.3897500566630234,-1.2591112088925616,4.530558384720003,3.831214244210265,3.670133643273271,-1.962953052182188,4.69381808444194,5.042104664386934,4.19532239499824,2.9852261376693163,3.9361150827941747,-0.13328102721527402,2.3301434446002633,0.22890799168187737,6.859794013427912,-0.047104907757272545,-0.570233482999149,5.38647285343922,-1.5124320975698355,-0.38327073918356175,1.5777256486136046,-0.05036586635795926,jumping,jumping_01,0
