time,seconds_elapsed,z,y,x
1772514963844924700,-0.000075439453125,-0.00452724052593112,-0.012383334338665009,-0.0037283156998455524
1772514963854971400,0.009971435546875,-0.0034620072692632675,-0.005991935729980469,0.0005326165119186044
1772514963865019100,0.02001904296875,-0.00452724052593112,0.0014646954368799925,0.0005326165119186044
1772514963875065900,0.03006591796875,-0.005592473316937685,-0.005991935729980469,-0.0005326165119186044
1772514963885113000,0.040113037109375,-0.0034620072692632675,0.00359516148455441,-0.0026630824431777
1772514963895160000,0.05016015625,-0.0023967742454260588,0.0014646954368799925,-0.0005326165119186044
1772514963905207600,0.06020751953125,-0.0002663082559593022,-0.0027962366584688425,-0.0015978495357558131
1772514963915254500,0.070254638671875,-0.00133154122158885,0.0003994623839389533,-0.0005326165119186044
1772514963925302500,0.080302490234375,-0.0023967742454260588,0.0003994623839389533,-0.0015978495357558131
1772514963935349800,0.090349853515625,-0.0034620072692632675,-0.0017310036346316338,-0.0005326165119186044
1772514963945391000,0.10039111328125,-0.0023967742454260588,0.0003994623839389533,0.0005326165119186044
1772514963955437600,0.1104375,-0.0023967742454260588,-0.0017310036346316338,-0.0015978495357558131
1772514963965488400,0.12048828125,-0.0023967742454260588,-0.0017310036346316338,-0.0005326165119186044
1772514964005627000,0.160626953125,-0.00133154122158885,0.0003994623839389533,0.0005326165119186044
1772514964035788000,0.1907880859375,-0.00133154122158885,0.0003994623839389533,-0.0005326165119186044
1772514964055877400,0.21087744140625,-0.00133154122158885,0.00359516148455441,-0.0015978495357558131
1772514964075971000,0.23097119140625,-0.0002663082559593022,0.0025299284607172012,0.0015978495357558131
1772514964086018300,0.241018310546875,0.0007989247678779066,0.004660394508391619,0.0015978495357558131
1772514964096052700,0.251052734375,-0.00133154122158885,0.00359516148455441,-0.0005326165119186044
1772514964106082300,0.261082275390625,-0.0002663082559593022,0.005725627299398184,0.0005326165119186044
1772514964126176000,0.281176025390625,0.0018641578499227762,0.007856093347072601,0.0005326165119186044
1772514964136263700,0.291263671875,0.0007989247678779066,0.008788172155618668,-0.0005326165119186044
1772514964146313700,0.301313720703125,0.0007989247678779066,0.006790860556066036,-0.0015978495357558131
1772514964156352500,0.3113525390625,-0.0002663082559593022,0.004660394508391619,-0.0005326165119186044
1772514964166401500,0.321401611328125,0.0007989247678779066,0.006790860556066036,0.0015978495357558131
1772514964176450000,0.331449951171875,0.0007989247678779066,0.005725627299398184,0.0005326165119186044
1772514964186498800,0.341498779296875,-0.0023967742454260588,0.005725627299398184,0.0005326165119186044
1772514964196543500,0.35154345703125,-0.00133154122158885,-0.000665770610794425,-0.0026630824431777
1772514964206592000,0.361592041015625,-0.0002663082559593022,0.008788172155618668,0.0015978495357558131
1772514964216637200,0.37163720703125,-0.00133154122158885,0.0014646954368799925,0.0005326165119186044
1772514964226685200,0.381685302734375,-0.00133154122158885,0.0025299284607172012,0.0015978495357558131
1772514964236730400,0.39173046875,-0.00133154122158885,0.004660394508391619,-0.0005326165119186044
1772514964246778000,0.401778076171875,-0.00133154122158885,0.0014646954368799925,0.0005326165119186044
1772514964256826600,0.41182666015625,-0.00133154122158885,0.004660394508391619,0.0005326165119186044
1772514964266874400,0.421874267578125,-0.00133154122158885,0.0025299284607172012,0.0005326165119186044
1772514964276951300,0.431951416015625,-0.00133154122158885,0.0025299284607172012,-0.0015978495357558131
1772514964287002000,0.442002197265625,-0.0023967742454260588,0.006790860556066036,0.0015978495357558131
1772514964297022200,0.452022216796875,-0.00133154122158885,0.0014646954368799925,0.0005326165119186044
1772514964307070200,0.4620703125,-0.0002663082559593022,0.0003994623839389533,-0.0005326165119186044
1772514964317132300,0.47213232421875,-0.00133154122158885,0.00359516148455441,-0.0005326165119186044
1772514964327181600,0.482181640625,-0.00133154122158885,0.0025299284607172012,0.0015978495357558131
1772514964337227800,0.492227783203125,-0.00133154122158885,0.0025299284607172012,0.0005326165119186044
1772514964347276800,0.50227685546875,-0.00133154122158885,0.0014646954368799925,0.0005326165119186044
1772514964357323000,0.512322998046875,-0.00133154122158885,0.0025299284607172012,0.0005326165119186044
1772514964367371500,0.52237158203125,-0.0002663082559593022,0.0025299284607172012,0.0015978495357558131
1772514964377416700,0.532416748046875,-0.00133154122158885,0.0003994623839389533,-0.0005326165119186044
1772514964387465000,0.54246484375,-0.00133154122158885,0.0003994623839389533,0.0005326165119186044
1772514964397510000,0.552510009765625,-0.0023967742454260588,0.0025299284607172012,0.0005326165119186044
1772514964407557600,0.5625576171875,-0.00133154122158885,0.0025299284607172012,0.0005326165119186044
1772514964417603000,0.57260302734375,-0.0023967742454260588,0.0014646954368799925,-0.0005326165119186044
1772514964427650800,0.58265087890625,-0.00133154122158885,0.0014646954368799925,0.0005326165119186044
1772514964437699600,0.592699462890625,-0.00133154122158885,0.0025299284607172012,-0.0005326165119186044
1772514964447747300,0.602747314453125,-0.0002663082559593022,0.0025299284607172012,-0.0005326165119186044
1772514964457785300,0.612785400390625,-0.00133154122158885,0.0014646954368799925,0.0015978495357558131
1772514964467832000,0.62283203125,-0.00133154122158885,0.0025299284607172012,0.0015978495357558131
1772514964477887000,0.632886962890625,-0.00133154122158885,0.00359516148455441,-0.0005326165119186044
1772514964487934700,0.642934814453125,-0.00133154122158885,0.0025299284607172012,0.0005326165119186044
1772514964497976300,0.652976318359375,-0.00133154122158885,0.0014646954368799925,0.0005326165119186044
1772514964508023300,0.663023193359375,-0.00133154122158885,0.0025299284607172012,-0.0005326165119186044
