time,seconds_elapsed,z,y,x
1772514963844924700,-0.000075439453125,0.022968292236328125,-0.02521979808807373,0.06732571125030518
1772514963854971400,0.009971435546875,0.03674793243408203,-0.010751470923423767,0.04208177328109741
1772514963865019100,0.02001904296875,0.0031652450561523438,-0.010656818747520447,-0.047958970069885254
1772514963875065900,0.03006591796875,0.007860183715820312,0.008364647626876831,0.0699722170829773
1772514963885113000,0.040113037109375,-0.0017061233520507812,-0.005676344037055969,0.003212869167327881
1772514963895160000,0.05016015625,-0.0016851425170898438,0.01799076795578003,-0.0014214515686035156
1772514963905207600,0.06020751953125,0.0030717849731445312,-0.0009997934103012085,0.045417189598083496
1772514963915254500,0.070254638671875,0.017145156860351562,0.013178884983062744,-0.016522347927093506
1772514963925302500,0.080302490234375,0.0027341842651367188,-0.0010363012552261353,0.021448910236358643
1772514963935349800,0.090349853515625,-0.0020074844360351562,-0.02453918755054474,0.04445815086364746
1772514963945391000,0.10039111328125,0.0027313232421875,-0.019492745399475098,-0.008050203323364258
1772514963955437600,0.1104375,-0.006717681884765625,-0.0049119144678115845,0.001326918601989746
1772514963965488400,0.12048828125,-0.020719528198242188,0.018742427229881287,0.0105476975440979
1772514964035788000,0.1907880859375,-0.000019073486328125,0.009556680917739868,-0.0033167004585266113
1772514964055877400,0.21087744140625,0.008730888366699219,-0.00938175618648529,-0.016003191471099854
1772514964075971000,0.23097119140625,0.00113677978515625,-0.0012411326169967651,0.0014715790748596191
1772514964086018300,0.241018310546875,0.005237579345703125,-0.0054966360330581665,-0.015323162078857422
1772514964096052700,0.251052734375,-0.008234977722167969,0.012324243783950806,-0.004868984222412109
1772514964106082300,0.261082275390625,-0.0031681060791015625,0.015503644943237305,0.013479411602020264
1772514964126176000,0.281176025390625,-0.012350082397460938,0.0038248300552368164,-0.017836570739746094
1772514964136263700,0.291263671875,-0.024860382080078125,-0.01863303780555725,-0.011320948600769043
1772514964146313700,0.301313720703125,-0.018772125244140625,-0.012778863310813904,0.0079154372215271
1772514964156352500,0.3113525390625,-0.008647918701171875,0.010506317019462585,0.02130126953125
1772514964166401500,0.321401611328125,-0.012689590454101562,-0.008283734321594238,-0.024409115314483643
1772514964176450000,0.331449951171875,0.04677009582519531,0.04639609158039093,0.00007408857345581055
1772514964186498800,0.341498779296875,-0.08274650573730469,0.01213081181049347,-0.04024612903594971
1772514964196543500,0.35154345703125,0.06241798400878906,-0.0200892835855484,0.04357868432998657
1772514964206592000,0.361592041015625,0.0046634674072265625,0.0217573344707489,-0.03977310657501221
1772514964216637200,0.37163720703125,-0.03212451934814453,-0.04785539209842682,0.00786811113357544
1772514964226685200,0.381685302734375,-0.021585464477539062,-0.013873904943466187,0.053552210330963135
1772514964236730400,0.39173046875,0.015997886657714844,0.014272674918174744,-0.026269614696502686
1772514964246778000,0.401778076171875,-0.021427154541015625,-0.004748642444610596,0.0024889707565307617
1772514964256826600,0.41182666015625,0.016201019287109375,0.004579395055770874,-0.015601575374603271
1772514964266874400,0.421874267578125,0.006361961364746094,0.0043466538190841675,0.03131234645843506
1772514964276951300,0.431951416015625,-0.01696491241455078,-0.009526193141937256,0.025803208351135254
1772514964287002000,0.442002197265625,0.0020685195922851562,-0.00011996924877166748,0.007039964199066162
1772514964297022200,0.452022216796875,0.006618499755859375,0.004449591040611267,0.0023036599159240723
1772514964307070200,0.4620703125,-0.0028638839721679688,0.013616174459457397,-0.007007896900177002
1772514964317132300,0.47213232421875,-0.0027952194213867188,0.013226360082626343,0.007453978061676025
1772514964327181600,0.482181640625,0.011200904846191406,-0.01055377721786499,0.02602851390838623
1772514964337227800,0.492227783203125,0.0015592575073242188,-0.014954566955566406,0.011547625064849854
1772514964347276800,0.50227685546875,0.006155967712402344,-0.005287840962409973,0.034603774547576904
1772514964357323000,0.512322998046875,0.0059680938720703125,-0.009860098361968994,0.024559497833251953
1772514964367371500,0.52237158203125,0.001129150390625,0.013544559478759766,0.01480776071548462
1772514964377416700,0.532416748046875,0.010423660278320312,0.013223901391029358,0.0004597306251525879
